d14,ad,day7,m1,m3,m6,m12,m18,m24,m60
1,2018-06-24,-1.0,7.0,12.0,28.0,35.0,35.0,36.0,36.0
0,2018-06-24,2.0,6.0,14.0,15.0,39.0,45.0,49.0,49.0
0,2018-06-24,2.0,3.0,4.0,8.0,9.0,9.0,9.0,10.0
0,2018-06-24,-1.0,4.0,9.0,11.0,34.0,34.0,34.0,34.0
0,2018-06-24,6.0,12.0,24.0,28.0,56.0,57.0,57.0,57.0
0,2018-06-24,2.0,4.0,12.0,20.0,52.0,56.0,56.0,56.0
0,2018-06-24,5.0,12.0,32.0,39.0,68.0,68.0,68.0,68.0
0,2018-06-24,8.0,13.0,28.0,32.0,35.0,35.0,35.0,35.0
0,2018-06-24,2.0,6.0,14.0,20.0,61.0,63.0,68.0,68.0
0,2018-06-24,-1.0,16.0,38.0,39.0,40.0,42.0,43.0,43.0
0,2018-06-24,3.0,5.0,19.0,25.0,35.0,35.0,35.0,35.0
0,2018-06-24,10.0,30.0,44.0,58.0,83.0,88.0,88.0,88.0
0,2018-06-24,9.0,21.0,24.0,28.0,36.0,36.0,36.0,38.0
1,2018-06-24,3.0,5.0,54.0,67.0,121.0,130.0,132.0,136.0
0,2018-06-24,2.0,3.0,5.0,34.0,38.0,40.0,40.0,40.0
0,2018-06-24,2.0,32.0,40.0,44.0,50.0,51.0,51.0,51.0
0,2018-06-24,-1.0,12.0,37.0,38.0,41.0,46.0,46.0,46.0
0,2018-06-24,6.0,9.0,15.0,15.0,30.0,37.0,37.0,37.0
0,2018-06-24,3.0,11.0,19.0,25.0,46.0,48.0,48.0,49.0
0,2018-06-24,-1.0,-1.0,12.0,13.0,13.0,13.0,13.0,13.0
0,2018-06-24,17.0,37.0,47.0,60.0,60.0,60.0,60.0,60.0
0,2018-06-24,4.0,10.0,18.0,29.0,30.0,31.0,31.0,31.0
0,2018-06-24,2.0,4.0,8.0,15.0,23.0,26.0,26.0,26.0
0,2018-06-24,4.0,13.0,31.0,36.0,45.0,45.0,45.0,45.0
0,2018-06-24,3.0,9.0,27.0,30.0,36.0,36.0,36.0,36.0
0,2018-06-24,7.0,8.0,9.0,9.0,13.0,14.0,18.0,18.0
0,2018-06-24,-1.0,4.0,6.0,12.0,32.0,43.0,47.0,50.0
0,2018-06-24,5.0,11.0,20.0,24.0,27.0,27.0,27.0,27.0
0,2018-06-24,5.0,26.0,43.0,50.0,52.0,55.0,55.0,55.0
0,2018-06-24,-1.0,3.0,7.0,8.0,27.0,35.0,37.0,40.0
0,2018-06-24,-1.0,-1.0,2.0,5.0,24.0,24.0,24.0,24.0
0,2018-06-24,5.0,6.0,16.0,18.0,33.0,33.0,33.0,33.0
0,2018-06-24,-1.0,5.0,16.0,19.0,40.0,40.0,42.0,43.0
0,2018-06-24,5.0,25.0,40.0,66.0,92.0,96.0,96.0,96.0
0,2018-06-24,17.0,31.0,32.0,34.0,34.0,34.0,34.0,34.0
0,2018-06-24,-1.0,6.0,40.0,42.0,43.0,43.0,43.0,43.0
0,2018-06-24,2.0,4.0,8.0,12.0,50.0,54.0,55.0,56.0
0,2018-06-24,-1.0,2.0,9.0,29.0,38.0,38.0,39.0,39.0
0,2018-06-24,4.0,17.0,23.0,25.0,30.0,51.0,51.0,52.0
0,2018-06-24,2.0,5.0,15.0,16.0,16.0,16.0,16.0,16.0
0,2018-06-24,2.0,3.0,17.0,25.0,80.0,81.0,81.0,81.0
0,2018-06-24,6.0,11.0,16.0,43.0,79.0,84.0,88.0,88.0
0,2018-06-24,8.0,18.0,68.0,73.0,77.0,81.0,81.0,81.0
1,2018-06-24,7.0,25.0,37.0,43.0,61.0,76.0,81.0,88.0
0,2018-06-24,4.0,25.0,38.0,54.0,55.0,55.0,55.0,55.0
0,2018-06-24,5.0,20.0,46.0,52.0,117.0,117.0,117.0,117.0
0,2018-06-24,8.0,14.0,20.0,31.0,31.0,31.0,31.0,31.0
0,2018-06-24,3.0,17.0,30.0,38.0,41.0,41.0,41.0,41.0
0,2018-06-24,20.0,41.0,56.0,60.0,76.0,84.0,84.0,84.0
0,2018-06-24,7.0,9.0,16.0,21.0,102.0,111.0,111.0,111.0
0,2018-06-24,5.0,16.0,31.0,38.0,44.0,44.0,44.0,44.0
0,2018-06-24,2.0,7.0,9.0,17.0,23.0,34.0,37.0,38.0
0,2018-06-24,-1.0,3.0,7.0,8.0,17.0,17.0,17.0,17.0
0,2018-06-24,2.0,4.0,10.0,14.0,23.0,23.0,23.0,23.0
0,2018-06-24,-1.0,6.0,11.0,16.0,26.0,27.0,28.0,29.0
0,2018-06-24,3.0,5.0,12.0,19.0,21.0,21.0,21.0,21.0
0,2018-06-24,3.0,8.0,19.0,32.0,111.0,116.0,116.0,116.0
0,2018-06-24,3.0,22.0,40.0,43.0,48.0,49.0,49.0,49.0
0,2018-06-24,-1.0,-1.0,9.0,18.0,50.0,50.0,50.0,50.0
0,2018-06-24,5.0,13.0,24.0,27.0,78.0,82.0,82.0,82.0
